MIDI Sequence
Format: One
Tracks: 6
Division: 48

TempoMetaMidiEvent	0	0x51	234375
TimeSignatureMetaMidiEvent	0	0x58	04	02	18	08
EndOfTrackMetaMidiEvent	56448	0x2F

KeySignatureMetaMidiEvent	0	0x59	Sharp2	Major
ControllerVoiceMidiEvent	0	0x0	VolumeCourse	0x60
ControllerVoiceMidiEvent	0	0x0	PanPositionCourse	0x3F
ProgramChangeVoiceMidiEvent	0	0x0	Harpsichord
OnNoteVoiceMidiEvent	0	0x0	D5	0x60
OnNoteVoiceMidiEvent	24	0x0	D5	0x00
OnNoteVoiceMidiEvent	0	0x0	C#5	0x60
OnNoteVoiceMidiEvent	24	0x0	C#5	0x00
OnNoteVoiceMidiEvent	0	0x0	D5	0x60
OnNoteVoiceMidiEvent	24	0x0	D5	0x00
OnNoteVoiceMidiEvent	0	0x0	C#5	0x60
OnNoteVoiceMidiEvent	24	0x0	C#5	0x00
OnNoteVoiceMidiEvent	0	0x0	D5	0x60
OnNoteVoiceMidiEvent	48	0x0	D5	0x00
OnNoteVoiceMidiEvent	48	0x0	D5	0x60
OnNoteVoiceMidiEvent	24	0x0	D5	0x00
OnNoteVoiceMidiEvent	0	0x0	C#5	0x60
OnNoteVoiceMidiEvent	24	0x0	C#5	0x00
OnNoteVoiceMidiEvent	0	0x0	D5	0x60
OnNoteVoiceMidiEvent	24	0x0	D5	0x00
OnNoteVoiceMidiEvent	0	0x0	E5	0x60
OnNoteVoiceMidiEvent	24	0x0	E5	0x00
OnNoteVoiceMidiEvent	0	0x0	F#5	0x60
OnNoteVoiceMidiEvent	24	0x0	F#5	0x00
OnNoteVoiceMidiEvent	0	0x0	E5	0x60
OnNoteVoiceMidiEvent	24	0x0	E5	0x00
OnNoteVoiceMidiEvent	0	0x0	F#5	0x60
OnNoteVoiceMidiEvent	24	0x0	F#5	0x00
OnNoteVoiceMidiEvent	0	0x0	G5	0x60
OnNoteVoiceMidiEvent	24	0x0	G5	0x00
OnNoteVoiceMidiEvent	0	0x0	A5	0x60
OnNoteVoiceMidiEvent	24	0x0	A5	0x00
OnNoteVoiceMidiEvent	0	0x0	G#5	0x60
OnNoteVoiceMidiEvent	24	0x0	G#5	0x00
OnNoteVoiceMidiEvent	0	0x0	A5	0x60
OnNoteVoiceMidiEvent	24	0x0	A5	0x00
OnNoteVoiceMidiEvent	0	0x0	G#5	0x60
OnNoteVoiceMidiEvent	24	0x0	G#5	0x00
OnNoteVoiceMidiEvent	0	0x0	A5	0x60
OnNoteVoiceMidiEvent	48	0x0	A5	0x00
OnNoteVoiceMidiEvent	48	0x0	A5	0x60
OnNoteVoiceMidiEvent	24	0x0	A5	0x00
OnNoteVoiceMidiEvent	0	0x0	G#5	0x60
OnNoteVoiceMidiEvent	24	0x0	G#5	0x00
OnNoteVoiceMidiEvent	0	0x0	A5	0x60
OnNoteVoiceMidiEvent	24	0x0	A5	0x00
OnNoteVoiceMidiEvent	0	0x0	A#5	0x60
OnNoteVoiceMidiEvent	24	0x0	A#5	0x00
OnNoteVoiceMidiEvent	0	0x0	B5	0x60
OnNoteVoiceMidiEvent	24	0x0	B5	0x00
OnNoteVoiceMidiEvent	0	0x0	A5	0x60
OnNoteVoiceMidiEvent	24	0x0	A5	0x00
OnNoteVoiceMidiEvent	0	0x0	G5	0x60
OnNoteVoiceMidiEvent	24	0x0	G5	0x00
OnNoteVoiceMidiEvent	0	0x0	F#5	0x60
OnNoteVoiceMidiEvent	24	0x0	F#5	0x00
OnNoteVoiceMidiEvent	0	0x0	E5	0x60
OnNoteVoiceMidiEvent	24	0x0	E5	0x00
OnNoteVoiceMidiEvent	0	0x0	D#5	0x60
OnNoteVoiceMidiEvent	24	0x0	D#5	0x00
OnNoteVoiceMidiEvent	0	0x0	E5	0x60
OnNoteVoiceMidiEvent	24	0x0	E5	0x00
OnNoteVoiceMidiEvent	0	0x0	F#5	0x60
